"""|en sträng som spänner över\n   |flera rader där marginalen fram till vertikalstreck\n   |är bortplockad med stripMargin (kan kombineras med s-interpolatorn)\n""".stripMargin	``''``|a string that spans\n   |multiple lines where the margin up to the vertical bar\n   |is stripped with stripMargin (can be combined with s-interpolator)''``''.stripMargin
"Yes".toLowerCase.startsWith("y")    // true\n"hejsan".contains("ejsa")            // true\n"42".toInt                           // 42 \n"?".toInt                            // ger krasch (undantaget NumberFormatException)\n"?".toIntOption.getOrElse(42)        // 42 (toIntOption kan inte krascha)\n// ett annat sätt att förhindra krasch med try ... catch:\nval x = try __C0__ "?".toInt __C1__ catch __C2__ case e: Exception => 42	``Yes''.toLowerCase.startsWith(``y'')    // true\n``hejsan''.contains(``ejsa'')            // true\n``42''.toInt                           // 42 \n``?''.toInt                            // throws an error (exception not caught)\n``?''.toIntOption.getOrElse(42)        // 42 (toIntOption cannot crash)\n// another way to prevent crash with try ... catch:\nval x = try __C0__ ``?''.toInt __C1__ catch __C2__ case e: Exception => 42
"hej".compareToIgnoreCase("HEj")\n	res: Int = 0\t``hej''.compareToIgnoreCase(``HEj'')  \n\tres: Int = 0
"hej".compareToIgnoreCase("HEj")\n\tres: Int = 0	``hej''.compareToIgnoreCase(``HEj'')\n\tres: Int = 0
"hej".compareToIgnoreCase("Ö")\n	res: Int = -142\t``hej''.compareToIgnoreCase(``Ö'')  \n\tres: Int = -142
"hej".compareToIgnoreCase("Ö")\n\tres: Int = -142	``hej''.compareToIgnoreCase(``Ö'')\n\tres: Int = -142
"hej".compareToIgnoreCase("ö") __C0__ res: Int = -142	``hej''.compareToIgnoreCase(``ö'') __C0__ res: Int = -142
''Aha!''	Aha!
''Bra'' metoder, tex Quicksort, Timsort:	Good methods, such as QuickSort, TimSort:
''Inferno'' av August Strindberg:	``Inferno'' by August Strindberg:
''Ingenting'' __C0____C1__är__C2__ faktiskt någonting i Scala	``Nothing'' __C0____C1__is__C2__actually something in Scala
''Introduction to Programming and Problem-Solving Using Scala'' Second Edition (2016), Mark C. Lewis, Lisa Lacher.	Introduction to Programming and Problem-Solving Using Scala, Second Edition (2016), Mark C. Lewis, Lisa Lacher.
''Jag fick till min stora glädje denna __C0____C1__Pull Request__C2__ (PR) accepterad till dokumentationssajten för Scala.	To my great delight, I had my __C0__ __C1__ Pull Request __C2__ accepted to the Scala documentation website.
''Looks Good To Me''	Looks Good To Me
''Methods in trait __C0__''	''Methods in trait __C0__''
''Pride and Prejudice'' av Jane Austen:	``Pride and Prejudice'' by Jane Austen:
''Pro Git''	Pro Git
''Programmeringskompetens'' är inte __C0__ enda enkel förmåga utan en komplex sammansättning av flera olika förmågor som __C1__ genom hela livet	Programming competence is not __C0__ the only simple ability but a complex composition of several different abilities that __C1__ throughout life
''Programmeringskompetens'' är inte __C0____C1__en__C2__ enda enkel förmåga utan en komplex sammansättning av flera olika förmågor som __C3____C4__utvecklas__C5__ genom hela livet	''Programmeringskompetens'' är inte __C0____C1__en__C2__ enda enkel förmåga utan en komplex sammansättning av flera olika förmågor som __C3____C4__utvecklas__C5__ genom hela livet
''Programming in Scala'', Fifth Edition (2021), Martin Odersky, Lex Spoon, and Bill Venners.	``Programming in Scala,'' Fifth Edition (2021), by Martin Odersky, Lex Spoon, and Bill Venners.
''Räkna'' med sanningvärden,\ns.k. booelsk algebra	Work with boolean values,\nso-called Boolean algebra
''Skattkammarön'' av R. L. Stevenson:	``Treasure Island'' by R. L. Stevenson:
''The sequence __C0____C1__should be sorted__C2__ before calling; otherwise, the results are __C3____C4__undefined.__C5__''	``The sequence __C0____C1__ should be sorted __C2__ before calling; otherwise, the results are __C3____C4__ undefined.__C5__''
''Vad  tycker  du  främst  behöver  förbättras?''	``What do you think needs to be improved most?''
''Vad  tycker  du  var  det  bästa  med  den här  kursen?''	What do you think was the best part of this course?
''Vad finns?''__C0__ och __C1____C2__''Vad fattas?__C3__'' för att du ska kunna lösa din uppgift.	``What's missing?''__C0__ and __C1____C2__``What's needed?''__C3__ for you to be able to solve your task.
''ahead'', flytta markören till början av raden	``ahead'', move the cursor to the beginning of the line
''auto-complete'', fyll i resten baserat på vad du skrivit hittills	``auto-complete'', fill in the rest based on what you have written so far
''blocking''	blocking
''change directory'', ändra aktuell katalog till	'change directory', switch to a different directory
''change directory'', ändra aktuell katalog till __C0____C1__p	''change directory'', ändra aktuell katalog till __C0____C1__p
''concatenate'', skriv ut hela innehållet i en eller flera filer	``concatenate'', print out the entire content of one or more files
''concatenate'', skriv ut hela innehållet i en eller flera filer __C0____C1__p1 p2 etc.	''concatenate'', skriv ut hela innehållet i en eller flera filer __C0____C1__p1 p2 etc.
''copy'', kopiera filen med path __C0____C1__p1__C2__ till en ny fil kallad __C3____C4__p2	''copy'', kopiera filen med path __C0____C1__p1__C2__ till en ny fil kallad __C3____C4__p2
''end'', flytta markören till slutet av raden	``end'', move the cursor to the end of the line
''fel''	``error''
''kill'', ta bort tecken från markören till radens slut	``kill'', remove characters from the cursor to the end of the line
''klistras in''	pasted in
''make dir'', skapa en katalog	'make dir', create a directory
''make dir'', skapa en katalog __C0____C1__p	''make dir'', skapa en katalog __C0____C1__p
''move'', byt namn på filen __C0__ till	``rename'', change the name of file __C0__ to
''move'', byt namn på filen __C0____C1__p1__C2__ till __C3____C4__p2	''move'', byt namn på filen __C0____C1__p1__C2__ till __C3____C4__p2
''print working directory'', skriv ut sökväg för aktuell katalog	print working directory, print the current directory path
''remove recursive'', ta bort katalogen __C0__ med allt innehåll; var försiktig!	'rm -rf', remove the directory __C0__ and all its contents; be careful!
''remove recursive'', ta bort katalogen __C0____C1__p__C2__ med allt innehåll; var försiktig!	''remove recursive'', ta bort katalogen __C0____C1__p__C2__ med allt innehåll; var försiktig!
''remove'', ta bort filen __C0____C1__p	''remove'', ta bort filen __C0____C1__p
''slash'', snedstreck anger filträdets rot om det finns i början av sökvägen, men utgör katalogsavskiljare inuti sökvägen	'/' indicates the filter tree's root if present at the beginning of the path, but serves as a directory separator within the path
''tilde'', din hemkatalog	`tilde`, your home directory
''tilde'', din hemkatalog __C0__\n__C1__ __C2__ ''slash'', snedstreck anger filträdets rot om det finns i början av sökvägen, men utgör katalogsavskiljare inuti sökvägen __C3__\n__C4__ __C5__ en punkt anger aktuell katalog, där du ''står'' __C6__\n__C7__ __C8__ två punkter anger ett steg ''upp'' i filträdet __C9__\n__C10__ __C11__ omgärda en sökväg med citationstecken, först och sist, om den innehåller annat än engelska bokstäver, t.ex. blanktecken__C12__\n__C13__ __C14__ __C15____C16__backslash+blanktecken__C17__ används för att beteckna mellanslag i sökvägar som __C18____C19__inte__C20__ omgärdas av citationstecken	``tilde'', your home directory __C0__\n__C1__ __C2__ ``slash'', a backslash indicates the filter tree's root if it is at the beginning of the path, but serves as a directory separator inside the path __C3__\n__C4__ __C5__ a dot indicates the current directory, where you ``are'' __C6__\n__C7__ __C8__ two dots indicate a step ``up'' in the filter tree __C9__\n__C10__ __C11__ enclose a path with quotation marks if it contains anything other than English letters, e.g., spaces __C12__\n__C13__ __C14__ __C15____C16__backslash+space__C17__ is used to denote spaces in paths which __C18____C19__are not__C20__ enclosed in quotation marks
''undo'', ta bort tecken från markören till början av raden	``undo'', remove characters from the cursor back to the start of the line
''yank'', sätt in det som senast togs bort	``yank'', insert what was last removed
''zleep'', stoppa pågående process, skriv sedan __C0__ för bakgrundskörning	``zleep'', stop the running process, then write __C0__ for background execution
''Överskugga __C0__''	''Överskugga __C0__''
''Överskugga equals vid arv''	Shadowing equals in inheritance
(50, 50), (50,10) och (30, 40).	(50, 50), (50, 10) and (30, 40).
(Bourne-Again SHell)	(Bash Shell)
(Det finns även __C0__ som är subtyp till __C1__ och supertyp till __C2__ och __C3__. Typen __C4__ behövs för att skilja mellan typer som kan undersökas med mönstermatchning och andra s.k. __C5__ (överkurs).)	There are also __C0__ which is a subtype of __C1__ and a supertype of __C2__ and __C3__. The type __C4__ is needed to distinguish between types that can be examined with pattern matching and other so-called __C5__ (overloading).
(Det finns även __C0__ som är subtyp till __C1__ och supertyp till __C2__ och __C3__. Typen __C4__ behövs för att skilja mellan typer som kan undersökas med mönstermatchning och andra s.k. __C5____C6__opaka typer__C7__ (överkurs).)	(Det finns även __C0__ som är subtyp till __C1__ och supertyp till __C2__ och __C3__. Typen __C4__ behövs för att skilja mellan typer som kan undersökas med mönstermatchning och andra s.k. __C5____C6__opaka typer__C7__ (överkurs).)
(Det finns även s.k. opaka typer som inte kan mönstermatchas.)	(There are also so-called opaque types that cannot be pattern matched.)
(Det kommer mer om implementation av samlingar och algoritmer i fördjupningskursen pfk.)	(There will be more about the implementation of collections and algorithms in the deep dive course pfk.)
(F, E, ...) förhistoria med hålkortsprogrammering	(prehistory with thread programming)
(Figurer hanteras likadant som tabeller, i en __C0__-omgivning.)	(Objects are handled similarly to tables in a __C0__ environment.)
(Finns ofta flera nivåer av cache)	(There are often multiple levels of cache)
(I ovan fiktiva exempel hade vi kunnat undvika detta enkelt genom att ge x startvärdet __C0__ i stället för null.	(In the above fictional example, we could have easily avoided this by giving x an initial value of __C0__ instead of null.
(Ibland utelämnar man attribut och/eller metoder i ett UML-diagram för att minska antalet detaljer i modellen och ge en överblick.)	(Sometimes attributes and/or methods are omitted in a UML diagram to reduce the number of details in the model and provide an overview.)
(Kompilatorn skapar __C0__: kod som allokerar __C1__ initialiserar alla attribut.)	(Kompilatorn skapar __C0__: kod som allokerar __C1__ initialiserar alla attribut.)
(Kompilatorn skapar __C0____C1__primärkonstruktor__C2__: kod som allokerar __C3__ initialiserar alla attribut.)	(Kompilatorn skapar __C0____C1__primärkonstruktor__C2__: kod som allokerar __C3__ initialiserar alla attribut.)
(Mer om __C0__ senare.)	(More about __C0__ later.)
(Mer om abstrakta medlemmar i veckan om arv.)	(More about abstract members in the week on inheritance.)
(Mer om bastyper, traits, equals, hashCode, ... senare.)	(More about base types, traits, equals, hashCode, ... later.)
(Mer om funktioner som objekt senare.)	(More about functions as objects later.)
(Om du svarat ''Nej'' kan du ångrar dig genom att efterbeställa.)	(If you answered ``No'', you can reverse your response by placing an order again.)
(Om du tycker att __C0__\nser kryptiskt ut, så kan du trösta dig med att du nu får chansen att föra vidare ett anrikt arv från det urgamla språket C och den sägenomspunna funktionen __C1__ till kommande generationer av invigda kodmagiker.)	(Om du tycker att __C0__\nser kryptiskt ut, så kan du trösta dig med att du nu får chansen att föra vidare ett anrikt arv från det urgamla språket C och den sägenomspunna funktionen __C1__ till kommande generationer av invigda kodmagiker.)
(Om du är nyfiken på alla intrikata detaljer, se\n__C0__ och   __C1__.)	(If you are curious about all the intricate details, see\n__C0__ and   __C1__..)
(Undantag: Java-metoder)	(Exception: Java methods)
(Undantag: Java-metoder)\n__C0__\nscala> def tomParameterlista() = 42	(Exclusion: Java methods)\n__C0__\nscala> def emptyParameterList() = 42
(Ursprungligen) Inte för nybörjare.	Not for beginners.
