# FLAGSHIP CLUSTER GLOSSARY — vegetable / Grönsak hierarchy (the canonical vegomatch example + vego1-4 +
# w06-patterns + intro/lect-w06 prose). CURATED proposal for BR to ratify. Whole-identifier rename;
# semantics-aware (cross-checked against vegomatch.scala + workspace/w07-inherit/src/vego3.scala).
# Columns: sv	en	kind	note
#
# --- core hierarchy (vegomatch.scala; shared by vego1-4 — rename MUST be consistent across all) ---
Grönsak	Vegetable	trait/type	root trait; also lowercase grönsak->vegetable, plural grönsaker->vegetables, Grönsaker->Vegetables
Gurka	Cucumber	case class	also ingenGurka->noCucumber, gurklängd->cucumberLength, Jättegurkan->TheGiantCucumber
Tomat	Tomato	case class
vikt	weight	field/param	abstract field in trait
ärRutten	isRotten	field/param	boolean field
#
# --- random factory defs (Main object) ---
slumpvikt	randomWeight	def
slumprutten	randomRotten	def
slumpgurka	randomCucumber	def
slumptomat	randomTomato	def
slumpgrönsak	randomVegetable	def	high freq (95-cluster); also in intro/lect-w01 prose + inline \code
#
# --- predicates / harvest (Main.main) ---
ärÄtvärd	isWorthEating	def	pattern-match predicate (vegomatch)
skörd	harvest	val
ätvärda	worthEating	val
ärÄtbar	isEdible	def	DISTINCT from ärÄtvärd; used in w06-patterns + lect-w06-equals
anonymGrönsak	anonymousVegetable	val	w10-inheritance
ärGrönSak	isVegetable	def	note odd source casing ärGrönSak (lect-w09)
#
# --- inheritance variant (workspace/w07-inherit/src/vego1-4: skala peeling model) ---
skalningsmetod	peelingMethod	val	abstract in trait
skalfaktor	peelFactor	val	concrete, default 0.99
ärSkalad	isPeeled	var	boolean, default false
skala	peel	method
#
# --- string literals (program output / messages) ---
"Antal skördade grönsaker: "	"Number of harvested vegetables: "	string	vegomatch output
"Antal ätvärda grönsaker:  "	"Number of vegetables worth eating:  "	string	vegomatch output (keep trailing spaces for alignment)
"Skalas med skalare."	"Peeled with a peeler."	string	vego3 Gurka peeling method
"Skållas."	"Blanched."	string	vego3 Tomat peeling method (BR-ratified: skålla = blanch, the culinary term)
#
# --- comments (translate; keep code verbatim) ---
abstrakt	abstract	comment	// abstrakt -> // abstract
konkret	concrete	comment	// konkret -> // concrete
"nyckelordet override behövs ej om abstrakt medlem i supertyp"	"the override keyword is not needed for an abstract member in the supertype"	comment
"nyckelordet override behövs ej om abstrakt medlem i supertyp men tillåtet:"	"the override keyword is not needed for an abstract member in the supertype but is allowed:"	comment
"kompilatorn hittar stavfelet!"	"the compiler finds the typo!"	comment
"override måste anges vid ändrad impl."	"override must be given when the impl. changes"	comment
